org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
e03d3f1b-010a-1000-e00a-5dc7c0a802deCCE7AED4,,,种猪场,2021-01-01,2021-03-05,高繁感染,A阳（双缺）
bDoAALYh4BbM567U,,,种猪场,2021-11-10,2021-12-30,高繁感染,A阳（双缺）
bDoAADC02cbM567U,,,种猪场,2021-10-01,2022-01-19,高繁感染,B阳
bDoAADP3KbjM567U,,,种猪场,2021-02-02,2021-02-14,高繁感染,阴
bDoAABrgZpXM567U,,,种猪场,2021-05-25,2021-05-25,高繁感染,B阳
Kv/utwEREADgAI9NfwAAAcznrtQ=,,,种猪场,2021-09-20,2021-10-11,高繁感染,D阳
bDoAADwkTmXM567U,,,种猪场,2021-12-04,2022-01-26,高繁感染,B阳
5s/Wrc5rTAuhq6uJGxtmQcznrtQ=,,,种猪场,2022-01-14,2022-02-19,高繁感染,B阳
e03d3f1b-010a-1000-e004-192cc0a802deCCE7AED4,,,种猪场,2020-08-14,2020-09-04,高繁感染,B阳
bDoAAAXKmOjM567U,,,种猪场,2021-01-19,2021-02-16,高繁感染,B阳
bDoAADt50rLM567U,,,种猪场,2021-06-24,2021-07-26,高繁感染,B阳
bDoAAAg6uQPM567U,,,种猪场,2021-10-26,2021-11-28,高繁感染,B阳
bDoAAEz4d27M567U,,,种猪场,2021-11-20,2021-12-11,高繁感染,B阳
bDoAAArJzP3M567U,,,种猪场,2020-09-12,2020-09-26,高繁感染,阴
bDoAAB5leNfM567U,,,种猪场,2020-12-22,2021-01-15,高繁感染,阴
bDoAAMLFAS/M567U,,,种猪场,2021-01-17,2021-02-07,高繁感染,B阳
bDoAAKH91k7M567U,,,种猪场,2021-01-01,2021-05-02,高繁感染,"B阳,A阳（双缺）+B阳"
bDoAAIzVkcbM567U,,,种猪场,2021-02-15,2021-05-16,高繁感染,B阳
Eh2IloVgRl22s/pKmeJpmsznrtQ=,,,种猪场,2021-07-27,2021-08-18,高繁感染,B阳
mbxUu19mTsGH0lLUuTW6OMznrtQ=,,,种猪场,2021-08-17,2021-09-09,高繁感染,A阳（双缺）
KX0hFQESEADgALnfCgsE3sznrtQ=,,,种猪场,2020-09-20,2020-09-30,高繁感染,B阳
bDoAAKVXgGrM567U,,,种猪场,2020-11-19,2020-12-13,高繁感染,阴
e03d3f1b-010a-1000-e004-0431c0a802deCCE7AED4,,,种猪场,2021-01-16,2021-02-06,高繁感染,B阳
bDoAAD9Lki3M567U,,,种猪场,2021-02-16,2021-04-16,高繁感染,B阳
bDoAABp4TUHM567U,,,种猪场,2021-09-15,2021-10-13,高繁感染,B阳
bDoAABbpD+3M567U,,,种猪场,2021-10-25,2021-11-22,高繁感染,B阳
bDoAAAjWKY/M567U,,,种猪场,2021-11-06,2021-12-08,高繁感染,"B阳,A阳（单缺）"
bDoAAMSec3nM567U,,,种猪场,2021-12-15,2022-01-06,高繁感染,B阳
bDoAAKVXgGrM567U,,,种猪场,2020-12-15,2020-12-15,高繁感染,B阳
bDoAACKe96rM567U,,,种猪场,2021-01-22,2021-01-27,高繁感染,B阳
OxabekMkQHKRMWn1AUn11sznrtQ=,,,种猪场,2020-12-19,2021-03-15,高繁感染,"A阳（双缺）,B阳"
XBzW2wEaEADgA3DzCgsFAcznrtQ=,,,种猪场,2021-02-02,2021-04-03,高繁感染,A阳（单缺）
bDoAAHQXPQTM567U,,,种猪场,2021-04-22,2021-05-31,高繁感染,A阳（双缺）
bDoAABrgZpXM567U,,,种猪场,2021-06-11,2021-07-03,高繁感染,B阳
bDoAADqYadDM567U,,,种猪场,2021-07-02,2021-07-23,高繁感染,B阳
fZZeiXA4SjmG+jb+ZEIkEsznrtQ=,,,种猪场,2021-06-14,2021-08-06,高繁感染,B阳
bDoAAKnsMXTM567U,,,种猪场,2021-07-09,2021-08-14,高繁感染,B阳
2YpNIUMZSQWkRcBbtDgd5MznrtQ=,,,种猪场,2021-09-01,2021-10-28,高繁感染,B阳
bDoAABvH7CvM567U,,,种猪场,2021-10-13,2021-11-15,高繁感染,B阳
bDoAACW+AGvM567U,,,种猪场,2021-10-26,2021-11-18,高繁感染,B阳
bDoAAHYiPHfM567U,,,种猪场,2021-09-06,2021-11-27,高繁感染,B阳
X6Ka4wEUEADgEK17CgsFAsznrtQ=,,,种猪场,2021-12-17,2022-01-07,高繁感染,D阳+B阳
bDoAAAg6uQPM567U,,,种猪场,2022-01-03,2022-01-24,高繁感染,B阳
bDoAAD9Lki3M567U,,,种猪场,2022-03-01,2022-03-21,高繁感染,B阳
bDoAAKH9DvTM567U,,,种猪场,2021-03-01,2021-03-14,高繁感染,B阳
bDoAAB9RQabM567U,,,种猪场,2021-07-02,2021-07-22,高繁感染,B阳
bDoAADt50rLM567U,,,种猪场,2021-10-03,2021-10-23,高繁感染,B阳
bDoAACKeg+XM567U,,,种猪场,2022-01-06,2022-02-19,高繁感染,B阳
lwSyrTJYQpKocvlNnkNfVsznrtQ=,,,种猪场,2022-01-29,2022-02-25,高繁感染,B阳
tp62zQbcSBSmduRT0vtmw8znrtQ=,,,种猪场,2020-11-03,2020-11-25,高繁感染,B阳
bDoAAKnsKAjM567U,,,种猪场,2021-01-20,2021-01-24,高繁感染,B阳
bDoAACW+AGvM567U,,,种猪场,2021-01-18,2021-02-18,高繁感染,B阳
6djM4AEREADgAb6AfwAAAcznrtQ=,,,种猪场,2021-01-02,2021-03-08,高繁感染,"A阳（双缺）,B阳"
bDoAAISzjqLM567U,,,种猪场,2021-03-16,2021-06-27,高繁感染,B阳
bDoAACW+AGvM567U,,,种猪场,2021-12-18,2022-03-03,高繁感染,"B阳,A阳（单缺）"
2YpNIUMZSQWkRcBbtDgd5MznrtQ=,,,种猪场,2020-11-21,2020-12-18,高繁感染,阴
MnBcDQEhEADgAH72CgsCBsznrtQ=,,,种猪场,2020-12-03,2020-12-27,高繁感染,B阳
WYAoW9mNSD+xXQtoaA4VsMznrtQ=,,,种猪场,2021-03-31,2021-04-22,高繁感染,B阳
e03d3f1b-010a-1000-e004-05a2c0a802deCCE7AED4,,,种猪场,2021-03-17,2021-04-25,高繁感染,"A阳（双缺）,A阳（单缺）"
8lJHtQEeEADgFLbTCgsFAcznrtQ=,,,种猪场,2021-05-09,2021-05-29,高繁感染,D阳+B阳
wIOLuufeR0a+/pt2E4bNw8znrtQ=,,,种猪场,2022-01-30,2022-02-20,高繁感染,A阳（单缺）
bDoAAEhfj4jM567U,,,种猪场,2020-11-30,2020-12-31,高繁感染,B阳
bDoAABozn+zM567U,,,种猪场,2020-12-03,2021-01-04,高繁感染,阴
hDYZrRrATxircipFGPTVJsznrtQ=,,,种猪场,2021-01-04,2021-03-06,高繁感染,B阳
e03d3f1b-010a-1000-e004-05a2c0a802deCCE7AED4,,,种猪场,2021-02-15,2021-03-07,高繁感染,A阳（单缺）
Kv/utwEREADgAH26fwAAAcznrtQ=,,,种猪场,2021-04-09,2021-05-03,高繁感染,B阳
5kAIgdleQqKvN3U18KjMHsznrtQ=,,,种猪场,2021-03-16,2021-05-26,高繁感染,B阳
bDoAAGCfkTfM567U,,,种猪场,2021-06-18,2021-07-08,高繁感染,B阳
bDoAAIHprf3M567U,,,种猪场,2021-08-07,2021-08-26,高繁感染,B阳
e03d3f1b-010a-1000-e003-d4d5c0a802deCCE7AED4,,,种猪场,2021-08-20,2021-09-10,高繁感染,B阳
bDoAACv/PPDM567U,,,种猪场,2020-12-24,2021-03-16,高繁感染,B阳
bDoAAJxdyz/M567U,,,种猪场,2021-03-10,2021-03-30,高繁感染,B阳
bDoAADBJESbM567U,,,种猪场,2021-01-24,2021-07-11,高繁感染,"A阳（双缺）,B阳,A阳（双缺）+B阳"
bDoAAC39QDfM567U,,,种猪场,2022-03-12,2022-04-05,高繁感染,A阳（双缺）
bDoAADqX/tHM567U,,,种猪场,2020-08-28,2020-09-10,高繁感染,阴
e03d3f1b-010a-1000-e004-3077c0a802deCCE7AED4,,,种猪场,2021-06-15,2021-07-05,高繁感染,D阳+B阳
bDoAAKnsKAjM567U,,,种猪场,2021-06-02,2021-08-14,高繁感染,"A阳（双缺）,A阳（双缺）+B阳"
bDoAAHQXPnfM567U,,,种猪场,2021-10-03,2021-12-01,高繁感染,B阳
bDoAAClY+PTM567U,,,种猪场,2021-05-06,2021-06-11,高繁感染,B阳
6djM4AEREADgAb6AfwAAAcznrtQ=,,,种猪场,2021-04-13,2021-07-18,高繁感染,"B阳,A阳（单缺）+B阳,D阳+B阳,A阳（双缺）+B阳"
Kv/utwEREADgAH26fwAAAcznrtQ=,,,种猪场,2021-08-31,2021-09-17,高繁感染,B阳
jRn8ev31TW6xv/4VRubY3MznrtQ=,,,种猪场,2020-09-12,2020-09-26,高繁感染,阴
OxabekMkQHKRMWn1AUn11sznrtQ=,,,种猪场,2020-11-12,2020-11-15,高繁感染,阴
aJ1tWgETEADgAQy9fwAAAcznrtQ=,,,种猪场,2020-12-29,2021-02-05,高繁感染,"B阳,D阳"
bDoAAAXKmOjM567U,,,种猪场,2021-04-23,2021-05-18,高繁感染,阴
bDoAAJ7DeuDM567U,,,种猪场,2021-03-06,2021-07-24,高繁感染,"A阳（双缺）,B阳"
440S1QEZEADgBhF/CgsFAcznrtQ=,,,种猪场,2021-12-05,2021-12-24,高繁感染,B阳
bDoAADqXW6zM567U,,,种猪场,2021-12-08,2022-01-27,高繁感染,B阳
bDoAAA+X2AXM567U,,,种猪场,2020-10-10,2020-10-14,高繁感染,阴
bDoAACKeg+XM567U,,,种猪场,2020-12-26,2021-01-23,高繁感染,B阳
lwSyrTJYQpKocvlNnkNfVsznrtQ=,,,种猪场,2021-02-07,2021-03-14,高繁感染,B阳
fCsRugEPEADgAT5WwKgC3sznrtQ=,,,种猪场,2021-02-03,2021-03-28,高繁感染,A阳（单缺）
bDoAAD9Lki3M567U,,,种猪场,2021-11-27,2022-01-19,高繁感染,B阳
bDoAAIHprf3M567U,,,种猪场,2021-06-27,2021-07-23,高繁感染,B阳
FQ7IoQEgEADgEzmmCgsFAsznrtQ=,,,种猪场,2021-07-21,2021-08-13,高繁感染,B阳
2YpNIUMZSQWkRcBbtDgd5MznrtQ=,,,种猪场,2022-03-15,2022-04-05,高繁感染,B阳
bDoAAEhhidzM567U,,,种猪场,2021-08-29,2021-09-28,高繁感染,B阳
bDoAAKnm7sPM567U,,,种猪场,2021-12-01,2022-03-30,高繁感染,"B阳,A阳（单缺）+B阳,A阳（单缺）,D阳+B阳"
bDoAACH3lW3M567U,,,种猪场,2020-11-17,2020-12-15,高繁感染,B阳
bDoAAJUqXrnM567U,,,种猪场,2020-11-27,2020-12-31,高繁感染,阴
jRn8ev31TW6xv/4VRubY3MznrtQ=,,,种猪场,2020-11-27,2021-04-30,高繁感染,阴
ydq77QEUEADgAYVFCgsFAcznrtQ=,,,种猪场,2021-06-04,2021-06-28,高繁感染,D阳
fwQkjQHjRU+OKZeA9QsfKMznrtQ=,,,种猪场,2021-08-28,2021-09-20,高繁感染,D阳
8rEcmj38R/S5VZO6LDDNY8znrtQ=,,,种猪场,2022-02-07,2022-03-20,高繁感染,B阳
bDoAAC7nAPfM567U,,,种猪场,2020-09-19,2020-10-07,高繁感染,B阳
bDoAABozn+zM567U,,,种猪场,2020-07-01,2020-11-27,高繁感染,阴
bDoAAKnsMXTM567U,,,种猪场,2020-10-12,2020-12-23,高繁感染,阴
bDoAAClY+PTM567U,,,种猪场,2020-12-31,2021-01-09,高繁感染,B阳
e03d3f1b-010a-1000-e004-36c9c0a802deCCE7AED4,,,种猪场,2020-11-26,2021-01-31,高繁感染,阴
bDoAADt5M13M567U,,,种猪场,2021-03-24,2021-04-16,高繁感染,A阳（双缺）
bDoAAEhiQtHM567U,,,种猪场,2021-04-18,2021-05-15,高繁感染,A阳（单缺）
ltqaM8kqQiKl1lNTWnaHGsznrtQ=,,,种猪场,2021-05-01,2021-06-16,高繁感染,B阳
l4SZ6wEhEADgG9+QCgsFAsznrtQ=,,,种猪场,2021-07-10,2021-07-31,高繁感染,B阳
bDoAAB9RQabM567U,,,种猪场,2021-08-05,2021-09-01,高繁感染,B阳
bDoAACv/PPDM567U,,,种猪场,2021-06-24,2021-10-12,高繁感染,B阳
bDoAAHGzK6vM567U,,,种猪场,2021-10-09,2021-10-27,高繁感染,B阳
bDoAABp4TUHM567U,,,种猪场,2021-11-19,2021-12-24,高繁感染,B阳
bDoAAJNKZmzM567U,,,种猪场,2022-01-05,2022-02-27,高繁感染,"A阳（双缺）,B阳"
26e9tdqJTou0qN6QAQ6dHsznrtQ=,,,种猪场,2020-10-17,2020-10-23,高繁感染,阴
bDoAACRQotnM567U,,,种猪场,2020-11-24,2021-03-01,高繁感染,阴
bDoAALYh4BbM567U,,,种猪场,2021-01-30,2021-05-05,高繁感染,"B阳,A阳（双缺）+B阳"
tp62zQbcSBSmduRT0vtmw8znrtQ=,,,种猪场,2021-12-20,2022-01-27,高繁感染,B阳
hei5hAEdEADgAUXSCgsFAsznrtQ=,,,种猪场,2020-07-01,2020-07-30,高繁感染,B阳
e03d3f1b-010a-1000-e009-5d60c0a802deCCE7AED4,,,种猪场,2020-09-26,2020-12-04,高繁感染,D阳
bDoAABrf/yDM567U,,,种猪场,2021-01-12,2021-03-25,高繁感染,B阳
FWvyI7s2RjG03BFcEK7mscznrtQ=,,,种猪场,2022-01-11,2022-01-29,高繁感染,A阳（单缺）
LtwoXBYbSvKkPPlCFBJWc8znrtQ=,,,种猪场,2022-02-15,2022-03-20,高繁感染,B阳
bDoAABrgZpXM567U,,,种猪场,2020-12-29,2020-12-31,高繁感染,阴
bDoAAHGzK6vM567U,,,种猪场,2021-01-21,2021-04-07,高繁感染,阴
bDoAACwlsTTM567U,,,种猪场,2021-06-26,2021-07-21,高繁感染,D阳
ZKNd3AEPEADgAgp/wKgC3sznrtQ=,,,种猪场,2021-05-24,2021-07-28,高繁感染,A阳（单缺）
bDoAAJ7tY/nM567U,,,种猪场,2021-09-10,2021-10-04,高繁感染,B阳
fCsRugEPEADgAT5WwKgC3sznrtQ=,,,种猪场,2021-08-27,2021-10-12,高繁感染,A阳（单缺）
bDoAAD/EIvrM567U,,,种猪场,2021-10-29,2021-11-18,高繁感染,B阳
ni898gXLTwaP5w1M8EhEnMznrtQ=,,,种猪场,2021-10-28,2021-11-25,高繁感染,B阳
MnBcDQEhEADgAH72CgsCBsznrtQ=,,,种猪场,2020-10-19,2020-11-13,高繁感染,B阳
bDoAAKH9EM3M567U,,,种猪场,2020-09-25,2020-11-20,高繁感染,B阳
ZKNd3AEPEADgAgjwwKgC3sznrtQ=,,,种猪场,2020-11-06,2020-12-09,高繁感染,A阳（单缺）
bDoAAGCfkTfM567U,,,种猪场,2021-02-01,2021-02-06,高繁感染,B阳
bDoAAGDBcSnM567U,,,种猪场,2021-05-21,2021-08-05,高繁感染,B阳
bDoAADt50rLM567U,,,种猪场,2021-08-05,2021-09-27,高繁感染,B阳
bDoAAE4zK6LM567U,,,种猪场,2021-06-21,2021-07-12,高繁感染,B阳
bDoAACjIOsbM567U,,,种猪场,2021-12-01,2022-02-12,高繁感染,B阳
fc8915fd-0109-1000-e000-0beec0a802deCCE7AED4,,,种猪场,2020-09-12,2020-09-28,高繁感染,阴
FQ7JPgEgEADgBvT6CgsFAsznrtQ=,,,种猪场,2020-10-17,2020-10-19,高繁感染,B阳
bDoAADqYadDM567U,,,种猪场,2020-12-27,2021-01-20,高繁感染,B阳
e03d3f1b-010a-1000-e004-3858c0a802deCCE7AED4,,,种猪场,2021-04-10,2021-05-18,高繁感染,A阳（单缺）
bDoAAMo7BuXM567U,,,种猪场,2021-08-01,2021-08-23,高繁感染,A阳（单缺）
dCcEQQEYEADgEFTfCgsCAsznrtQ=,,,种猪场,2021-08-18,2021-09-07,高繁感染,B阳
VVMTzQESEADgBAvlfwAAAcznrtQ=,,,种猪场,2021-10-30,2021-11-20,高繁感染,B阳
klQTuQEZEADgA+uACgsFAcznrtQ=,,,种猪场,2021-11-23,2022-01-23,高繁感染,B阳
bDoAAC5HgGPM567U,,,种猪场,2022-01-14,2022-02-27,高繁感染,A阳（双缺）
bDoAAHQXPQTM567U,,,种猪场,2022-02-17,2022-03-10,高繁感染,B阳
bDoAAETu4+bM567U,,,种猪场,2021-01-30,2021-02-20,高繁感染,B阳
WYAoW9mNSD+xXQtoaA4VsMznrtQ=,,,种猪场,2021-04-28,2021-05-18,高繁感染,B阳
bDoAALNCjoXM567U,,,种猪场,2021-02-17,2021-06-13,高繁感染,A阳（单缺）
bDoAAAlC9N/M567U,,,种猪场,2021-07-26,2021-08-22,高繁感染,B阳
5kAIgdleQqKvN3U18KjMHsznrtQ=,,,种猪场,2021-09-04,2021-10-20,高繁感染,B阳
bDoAAC7m/57M567U,,,种猪场,2020-08-06,2020-08-12,高繁感染,B阳
e03d3f1b-010a-1000-e00a-5dc7c0a802deCCE7AED4,,,种猪场,2021-04-21,2021-05-13,高繁感染,A阳（单缺）
bDoAADIerQHM567U,,,种猪场,2021-05-25,2021-06-15,高繁感染,B阳
bDoAAE4zK6LM567U,,,种猪场,2021-07-21,2021-08-11,高繁感染,B阳
bDoAAAjWKY/M567U,,,种猪场,2021-09-17,2021-10-08,高繁感染,B阳
bDoAACY5007M567U,,,种猪场,2021-05-02,2021-10-10,高繁感染,A阳（双缺）
ydq77QEUEADgAYVFCgsFAcznrtQ=,,,种猪场,2021-10-20,2021-11-15,高繁感染,D阳
bDoAAKfMquXM567U,,,种猪场,2022-01-19,2022-03-16,高繁感染,B阳
26e9tdqJTou0qN6QAQ6dHsznrtQ=,,,种猪场,2020-09-10,2020-10-10,高繁感染,阴
e03d3f1b-010a-1000-e004-192cc0a802deCCE7AED4,,,种猪场,2020-09-22,2020-11-07,高繁感染,B阳
dCcEQQEYEADgEFTfCgsCAsznrtQ=,,,种猪场,2021-03-15,2021-04-08,高繁感染,A阳（双缺）
bDoAABbpD+3M567U,,,种猪场,2021-08-05,2021-08-26,高繁感染,B阳
bDoAAAg6uQPM567U,,,种猪场,2021-02-19,2021-04-14,高繁感染,B阳
bDoAABvH6ZbM567U,,,种猪场,2021-10-31,2021-11-21,高繁感染,B阳
bDoAAF5F30TM567U,,,种猪场,2021-10-30,2021-12-24,高繁感染,B阳
bDoAADbYTd3M567U,,,种猪场,2020-12-21,2021-01-26,高繁感染,B阳
bDoAAJxdyz/M567U,,,种猪场,2021-02-14,2021-03-07,高繁感染,B阳
bDoAACwlsTTM567U,,,种猪场,2021-08-02,2021-08-08,高繁感染,A阳（单缺）
bDoAADIerQHM567U,,,种猪场,2021-07-09,2021-08-09,高繁感染,B阳
bDoAAAXOo6PM567U,,,种猪场,2021-08-15,2021-08-15,高繁感染,B阳
bDoAAD/EIvrM567U,,,种猪场,2021-07-28,2021-09-24,高繁感染,B阳
bDoAALYiuxTM567U,,,种猪场,2021-07-31,2021-10-07,高繁感染,A阳（双缺）
bDoAAEhhJUDM567U,,,种猪场,2021-11-18,2021-12-27,高繁感染,B阳
bDoAAKfyFNXM567U,,,种猪场,2020-09-26,2020-09-30,高繁感染,B阳
yKP7EVsSRsSuaLtQOsLsAcznrtQ=,,,种猪场,2020-10-24,2020-12-19,高繁感染,B阳
Dj9DCQEdEADgAufnCgsFAcznrtQ=,,,种猪场,2020-11-18,2021-02-06,高繁感染,B阳
bDoAAEhfj4jM567U,,,种猪场,2021-01-30,2021-04-18,高繁感染,B阳
bDoAADw1TDDM567U,,,种猪场,2021-04-03,2021-04-29,高繁感染,A阳（单缺）
bDoAAEGDj37M567U,,,种猪场,2021-11-15,2022-01-07,高繁感染,B阳
bDoAAALPaMvM567U,,,种猪场,2021-12-30,2022-01-23,高繁感染,B阳
bDoAAKH9EM3M567U,,,种猪场,2021-02-27,2021-03-18,高繁感染,"A阳（双缺）,B阳"
MnBcDQEhEADgAH72CgsCBsznrtQ=,,,种猪场,2021-06-24,2021-07-28,高繁感染,B阳
yKP7EVsSRsSuaLtQOsLsAcznrtQ=,,,种猪场,2021-02-08,2021-08-26,高繁感染,"A阳（双缺）,B阳,A阳（双缺）+B阳"
